experiment,subj,"condition (1 = Retrieval Pradtice, 2 = Restudy)",practice_rp_success,source_rp_success,source_rp_failure,confidence_rp_success,confidence_rp_failure,recall_rp_success,recall_rp_failure
1,501,1,0.775,0.709677419,0.333333333,2.935483871,1.444444444,0.548387097,0.333333333
1,502,2,,0.4,0.4,2.625,2.625,0.3,0.3
1,503,1,0.525,0.19047619,0.210526316,1.19047619,1.052631579,0.428571429,0.157894737
1,504,2,,0.3,0.3,1.825,1.825,0.275,0.275
1,505,1,0.45,0.444444444,0.227272727,3,2.136363636,0.5,0.409090909
1,506,2,,0.375,0.375,1.925,1.925,0.325,0.325
1,507,1,0.475,0.368421053,0.380952381,2.894736842,2.428571429,0.526315789,0.333333333
1,508,2,,0.3,0.3,1.25,1.25,0.05,0.05
1,509,1,0.625,0.24,0.333333333,2.36,1.733333333,0.56,0.4
1,510,2,,0.6,0.6,2.5,2.5,0.25,0.25
1,511,1,0.7,0.428571429,0.166666667,1.535714286,1.083333333,0.464285714,0.25
1,512,2,,0.375,0.375,2.775,2.775,0.3,0.3
1,513,1,0.55,0.090909091,0.388888889,1.272727273,1.277777778,0.409090909,0.111111111
1,514,2,,0.525,0.525,2.475,2.475,0.5,0.5
1,515,1,0.475,0.421052632,0.285714286,1.210526316,1,0.157894737,0.19047619
1,516,2,,0.35,0.35,2.9,2.9,0.3,0.3
1,517,1,0.525,0.238095238,0.421052632,1.80952381,1.894736842,0.19047619,0.157894737
1,518,2,,0.35,0.35,2.5,2.5,0.2,0.2
1,519,1,0.275,0.181818182,0.206896552,1.727272727,1.137931034,0.363636364,0.068965517
1,520,2,,0.475,0.475,2.35,2.35,0.425,0.425
1,521,1,0.825,0.424242424,0.285714286,1.939393939,1.714285714,0.454545455,0.571428571
1,522,2,,0.325,0.325,2.7,2.7,0.175,0.175
1,523,1,0.5,0.35,0.4,2.9,2.05,0.4,0.25
1,524,2,,0.225,0.225,1.925,1.925,0,0
1,525,1,0.6,0.333333333,0.125,1.75,1.625,0.291666667,0.25
1,526,2,,0.4,0.4,2.05,2.05,0.075,0.075
1,527,1,0.475,0.526315789,0.285714286,2.842105263,2.095238095,0.526315789,0.095238095
1,528,2,,0.325,0.325,2.1,2.1,0.1,0.1
1,529,1,0.25,0.4,0.366666667,1.1,1.166666667,0.3,0.033333333
1,530,2,,0.325,0.325,1.65,1.65,0.15,0.15
1,531,1,0.45,0.333333333,0.318181818,1.777777778,1.318181818,0.277777778,0.363636364
1,532,2,,0.325,0.325,1.65,1.65,0.15,0.15
1,533,1,0.65,0.269230769,0.071428571,1.461538462,1.714285714,0.307692308,0.214285714
1,534,2,,0.55,0.55,2.862068966,2.818181818,0.275,0.275
1,535,1,0.725,0.413793103,0.363636364,1.7,1.7,0.137931034,0.181818182
1,536,2,,0.325,0.325,2.333333333,2.125,0.125,0.125
1,537,1,0.6,0.25,0.3125,2.7,2.7,0.333333333,0.3125
1,538,2,,0.4,0.4,2.380952381,1.894736842,0.1,0.1
1,539,1,0.525,0.380952381,0.315789474,2.125,2.125,0.380952381,0.105263158
1,540,2,,0.525,0.525,2.357142857,1.961538462,0.225,0.225
1,541,1,0.35,0.285714286,0.346153846,2.1,2.1,0.5,0
1,542,2,,0.45,0.45,1.933333333,1.68,0.4,0.4
1,543,1,0.375,0.266666667,0.36,2.9,2.9,0.133333333,0
